canonical_split,canonical_filename,source_export_split,source_image_id,source_filename,source_group,leakage_group,sha256,width,height,annotation_count,class_counts_json
train,43076945f2d7_1000094978_jpg.rf.71e1f5da3f9245f13dd2503565d62864.jpg,train,299,1000094978_jpg.rf.71e1f5da3f9245f13dd2503565d62864.jpg,1000094978.jpg,1000094978.jpg,43076945f2d7d9ebc68f9da9a67190850ea5a44330f63274dd05ccd8bc1e5ac9,640,640,6,"{""0"":2,""1"":2,""2"":2,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0}"
train,f95601f4d329_1000094978_jpg.rf.7a37aba74336734c216cdadc40621fbb.jpg,train,349,1000094978_jpg.rf.7a37aba74336734c216cdadc40621fbb.jpg,1000094978.jpg,1000094978.jpg,f95601f4d329bee8a4bf68fe121b56451dc68570c227c40766e7e4ee8db45f3f,640,640,6,"{""0"":2,""1"":2,""2"":2,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0}"
train,d1dbbc81c9c9_1000094978_jpg.rf.d65c0a9aa2a1c835d552eaa603ab161e.jpg,train,794,1000094978_jpg.rf.d65c0a9aa2a1c835d552eaa603ab161e.jpg,1000094978.jpg,1000094978.jpg,d1dbbc81c9c999cd71c27661a07872d63c20544b21e05b27554ed8e2a83afd49,640,640,6,"{""0"":2,""1"":2,""2"":2,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0}"
train,340c1111cf95_1000094979_jpg.rf.30a907e61adb7e4726f7f4b702b5d369.jpg,train,631,1000094979_jpg.rf.30a907e61adb7e4726f7f4b702b5d369.jpg,1000094979.jpg,1000094979.jpg,340c1111cf95954be01896ce24fa5280e548fa4ee63fae96a95ba683b3380202,640,640,6,"{""0"":2,""1"":2,""2"":2,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0}"
train,26b78e5fb4a4_1000094979_jpg.rf.1ed5eb2d1f220bd818e833727be68d9a.jpg,train,681,1000094979_jpg.rf.1ed5eb2d1f220bd818e833727be68d9a.jpg,1000094979.jpg,1000094979.jpg,26b78e5fb4a4b49e3e7933cedc80659a2da8d7b247798bf3f56c6603aab144fd,640,640,6,"{""0"":2,""1"":2,""2"":2,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0}"
train,7594495d1dd6_1000094979_jpg.rf.19b619f556da6ce076aa19901f733558.jpg,train,846,1000094979_jpg.rf.19b619f556da6ce076aa19901f733558.jpg,1000094979.jpg,1000094979.jpg,7594495d1dd6042ad3682744920f800569d2d21efbe9e242d94451283c89cc63,640,640,6,"{""0"":2,""1"":2,""2"":2,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0}"
train,85165a3f819b_1000094980_jpg.rf.6bc2f8143c4b7b282ebe1e0547a661db.jpg,train,274,1000094980_jpg.rf.6bc2f8143c4b7b282ebe1e0547a661db.jpg,1000094980.jpg,1000094980.jpg,85165a3f819b34dc7c68b28299d8a5e7fe07f6bcee8e7429632d7197053c12b2,640,640,4,"{""0"":2,""1"":1,""2"":1,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0}"
train,cfd1ed5482de_1000094980_jpg.rf.a04696fc72925f585719d88ada952471.jpg,train,505,1000094980_jpg.rf.a04696fc72925f585719d88ada952471.jpg,1000094980.jpg,1000094980.jpg,cfd1ed5482de864c6e171c5f39ad4743a0d805cd173a7e91d5b8cd6dbc56c793,640,640,4,"{""0"":2,""1"":1,""2"":1,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0}"
train,bb6f92e35353_1000094980_jpg.rf.cdd34c1566d69396a8a5c58a6dfb2861.jpg,train,618,1000094980_jpg.rf.cdd34c1566d69396a8a5c58a6dfb2861.jpg,1000094980.jpg,1000094980.jpg,bb6f92e35353fdba9e9be9b4b5c3ba34b657071724a448bbc762c44e7951956d,640,640,4,"{""0"":2,""1"":1,""2"":1,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0}"
train,e3b6ae3780b1_1000094981_jpg.rf.f925c58c0f5f2a7a354ab159950af0c5.jpg,valid,1,1000094981_jpg.rf.f925c58c0f5f2a7a354ab159950af0c5.jpg,1000094981.jpg,1000094981.jpg,e3b6ae3780b1b86f4621b31e2ece545caca744ca0d7808a69a141985762fc90b,640,640,5,"{""0"":2,""1"":2,""2"":1,""3"":0,""4"":0,""5"":0,""6"":0,""7"":0,""8"":0,""9"":0,""10"":0,""11"":0}"
